location,Paris,Paris,Paris,Paris
lat,48.86489,48.86489,48.86489,48.86489
lon,2.36968,2.36968,2.36968,2.36968
asl,55.289,55.289,55.289,55.289
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Paris Temperature [2 m elevation corrected],Paris Relative Humidity [2 m],Paris Wind Speed [10 m],Paris Wind Direction [10 m]
20210213T2200,-0.9336235,58.0,18.171976,123.69006
20210213T2300,-1.2736235,59.0,16.992609,126.38435
20210214T0000,-1.5736234,60.0,16.199999,126.869896
20210214T0100,-1.8536235,61.0,15.575981,123.69006
20210214T0200,-2.0836236,61.0,16.981165,122.00538
20210214T0300,-2.3436236,61.0,15.778516,124.77783
20210214T0400,-2.5936236,61.0,15.277749,124.43899
20210214T0500,-2.7936237,61.0,14.904173,127.14668
20210214T0600,-3.0436237,62.0,16.641972,128.85338
20210214T0700,-3.2136235,62.0,16.055355,132.27368
20210214T0800,-3.4836235,64.0,17.31746,136.6847
20210214T0900,-3.2936237,64.0,18.391737,139.76364
20210214T1000,-2.0036235,60.0,17.610588,139.14462
20210214T1100,-0.9236235,58.0,16.08761,139.53778
20210214T1200,0.2263765,57.0,14.113652,142.25319
20210214T1300,2.1563764,53.0,16.489416,143.88066
20210214T1400,3.3363764,52.0,17.283749,144.3236
20210214T1500,4.3563766,50.0,17.906157,149.82648
20210214T1600,4.7863765,52.0,16.79314,149.03624
20210214T1700,4.8263764,55.0,15.141414,151.60698
20210214T1800,4.6063766,57.0,16.299694,149.47029
20210214T1900,4.2663765,61.0,17.782686,148.24051
20210214T2000,3.8563764,67.0,17.87718,154.98311
20210214T2100,3.3863764,71.0,17.31746,159.30455
20210214T2200,3.0263765,72.0,16.965895,162.7185
20210214T2300,2.5463765,75.0,16.808569,170.13419
20210215T0000,2.0163765,79.0,15.683776,170.75389
20210215T0100,1.3063766,85.0,15.124284,178.63608
20210215T0200,1.9563766,83.0,16.563911,181.24536
20210215T0300,2.6363764,80.0,18.448023,185.59933
20210215T0400,2.5663764,80.0,19.652176,188.42697
20210215T0500,2.3963764,79.0,20.06334,189.2933
20210215T0600,2.0963764,80.0,20.008356,188.2759
20210215T0700,1.6963766,79.0,19.959719,187.25319
