,station_id,lat,lon,name,capacity,2 cluster,2 cluster
147,27415466,48.87403113727167,2.38959476351738,Jourdain - Place des Grandes Rigoles,22,1,0
148,88140066,48.87590240712654,2.322616316378116,Rocher - Laborde,65,0,2
149,66491385,48.84780306364685,2.445141971111298,Fontenay - Libération,25,1,0
150,52393,48.89738369720229,2.3959985375404362,Grands Moulins de Pantin,50,0,2
151,596813170,48.84706173362218,2.4787822365760808,Cimetière,15,1,0
152,209057581,48.88633710236977,2.407338917255402,Gabriel Péri - Francisco Ferrer,18,1,0
153,66491389,48.86492098253841,2.302549182385926,Place de la Reine Astrid,58,0,2
154,596872103,48.818144834008976,2.271184623241425,Lucie Aubrac - Fort,30,1,0
155,81081358,48.8927825,2.3635598,Pajol - Place Herbert,39,1,0
156,210749865,48.8376682728114,2.344813834660711,Port-Royal - Hôpital du Val-de-Grâce,18,1,0
157,535500589,48.83769531916335,2.275374233722687,Hôpital Européen Georges Pompidou ,64,0,2
158,597245295,48.7985844,2.3821302,Concorde - Stalingrad,35,1,0
159,583171360,48.805713897355375,2.320202328264713,Jean Marin Naudin - Stalingrad,30,1,0
160,235513935,48.877436681515796,2.3860743641853337,Carducci - Place Hannah Arendt,27,1,0
161,27206194,48.8417514,2.3413893,Saint-Jacques - Val de Grâce,20,0,1
162,102323152,48.88467214209463,2.3919698596000676,Manin - Carrières d'Amérique,20,1,0
163,82584215,48.829654975522296,2.263867557048798,Place Lafayette,62,0,2
164,129060764,48.843949064031825,2.415081394834419,Victor Hugo - Jeanne Jugan,28,1,0
165,828134511,48.82801284944511,2.3056878894567485,Porte de Vanves,32,1,1
166,586649404,48.77093586667601,2.4034014344215398,Conservatoire de Musique,25,1,0
167,76199461,48.89401874744574,2.3319872841238976,Championnet - Vauvenargues,33,1,0
168,271426439,48.87174684930295,2.3722528328789854,Buisson Saint-Louis - Saint-Maur,19,1,0
169,213684314,48.852828153442346,2.2978776320815086,Fédération - Suffren,25,1,0
170,27363187,48.8957969797804,2.345585584134864,Place Albert Kahn,46,1,0
171,230952057,48.81411442356866,2.39090770483017,Place Marcel Cachin,32,1,1
172,42517412,48.871244610447015,2.4039056897163396,Gambetta - Saint Fargeau,24,1,0
173,37815993,48.8482255727241,2.350287325680256,Mutualité,37,0,2
174,213683101,48.83796366147599,2.2877392172813416,Lecourbe - Jean Maridor,19,1,0
175,213684750,48.84993035512154,2.294612042605877,Grenelle - Violet,35,1,0
176,129067920,48.831632518292565,2.3293121159076686,Mouton Duvernet - Général Leclerc,39,1,0
177,2515049357,48.84264375274712,2.3445946723222733,Erasme - Ulm,24,0,1
178,27364743,48.825218683556734,2.3107116669416428,Marc Sangnier - Porte de Vanves,21,0,1
179,102314792,48.88794016394694,2.326124420314341,Etienne Jodelle - Saint Ouen,33,1,0
180,35447568,48.81527009991819,2.298078276995073,Guy Môquet - Etienne Dolet,23,1,0
181,27415736,48.90713441498779,2.396005728053061,Jean Jaurès - Presles,30,1,0
182,583178525,48.876111,2.4677312,Boissière - Etienne Dolet,21,1,0
183,2514995690,48.86703740186721,2.336716018617153,Chabanais - Petits Champs,30,0,2
184,572566600,48.78138382511671,2.3723508417606354,Edouard Tremblay - Julian Grimau,30,1,1
185,82387816,48.87614039826388,2.301303138307601,Bertie Albrecht - Hoche,32,0,2
186,213679512,48.826701758539215,2.3384983465075493,Sibelle - Alésia,25,1,0
187,213685090,48.84240765130395,2.281037718057633,Cevennes - Bergers,29,1,0
188,301841024,48.81111581390707,2.3145738624448158,Molière - République,30,1,0
189,213676294,48.82941,2.375934,Chevaleret - Tolbiac,21,0,2
190,85147829,48.83495885166784,2.2416803240776066,Hôtel de Ville de Boulogne Billancourt,26,1,0
191,588452142,48.89110239200789,2.402843534946442,Hoche - Jean Lolive,24,1,0
192,213681356,48.821092374256104,2.333725690841675,David Weill - Parc Montsouris,22,1,0
193,213685514,48.836191728066666,2.2811267160086417,Place Robert Guillemard,24,0,1
194,66491402,48.89045112096476,2.349057392968696,Marcadet - Barbès,37,1,0
195,2515351285,48.83659148147257,2.2930556908249855,Vaugirard - Place Henri Rollet,27,1,0
196,102329800,48.8415473058801,2.233161628246308,Marcelin Berthelot,27,1,0
197,129038848,48.87242006305313,2.348395236282807,Enghien - Faubourg Poissonnière,16,0,1
